gene,coef,abs_coef,category
KRT81,0.0078501550076949,0.0078501550076949,EMT_related
KRTAP3-2,0.0077688233716457,0.0077688233716457,EMT_related
KRT87P,0.007248326645264,0.007248326645264,EMT_related
KRT86,0.0071324651760419,0.0071324651760419,EMT_related
KRTAP3-1,0.0070698661202355,0.0070698661202355,EMT_related
KRT16P1,0.006365595494226,0.006365595494226,EMT_related
TGFB2-AS1,-0.0059997868214534,0.0059997868214534,EMT_related
KRT7,0.0054288043485242,0.0054288043485242,EMT_related
KRT80,0.0028205748317077,0.0028205748317077,EMT_related
IGFN1,0.0024320332661382,0.0024320332661382,EMT_related
KRTAP4-1,0.0015008931374533,0.0015008931374533,EMT_related
